protein_A,protein_B,interacts
P60520,P11274,No
P14618,P04179,Yes
P29692,P54578,Yes
P09651,Q9H4M7,No
Q13574,O43639,No
P24593,P17936,Yes
Q96GM8,Q9P1W9,No
P55789,Q8N5F7,No
Q14807,P35637,Yes
P12830,P05556,Yes
O94761,P07305,Yes
Q96E40,O95466,No
O00499,O15527,No
P84090,P02774,No
Q96GD3,Q9H4M7,No
Q99962,P08887,Yes
P04637,P49848,Yes
Q86YP4,P02774,No
Q15560,Q9BVJ7,No
P53621,Q9NS87,No
Q9H9F9,Q92993,Yes
O43583,P62979,Yes
P21964,O15211,No
Q8N6T3,P49903,No
O75828,P35637,No
Q9Y6K8,Q14318,No
P24534,Q9BWV1,No
Q9NXU5,Q99759,No
P27448,P05090,No
Q53EZ4,P14174,Yes
P24534,P24666,No
Q8NFP9,P00918,No
P18848,P52565,No
P35080,P04899,No
P01111,O95425,No
P04406,O14531,No
Q12852,Q9H832,No
P01111,P41220,No
Q9HD67,P11766,No
P00533,P06493,Yes
Q9UIF7,P21695,No
Q15554,P08758,Yes
P30086,Q15388,No
Q9NZD4,Q15005,No
Q08945,Q9UK61,Yes
Q14181,P01040,No
P12956,P61970,No
P56470,Q03013,No
P07858,O60543,No
Q13123,P78560,No
P61956,P61077,No
Q9UKM9,Q13085,No
Q9NPI1,Q6P2Q9,Yes
P49759,P62820,No
Q12809,Q9NZD4,No
P24534,Q9HC16,No
Q8IWR0,P84077,Yes
Q08345,Q86YV5,No
P55789,Q8IX03,Yes
P30153,P24593,Yes
Q96B36,P58340,No
Q14974,Q15554,Yes
Q02750,P63279,Yes
P63000,O15197,Yes
P14314,P26447,No
Q9GZQ8,Q9Y4P1,Yes
P37268,Q9NY59,No
O95166,Q8WWI1,No
Q9HCK4,P60033,No
Q9HCU8,P54274,Yes
P42773,Q9UMR2,No
Q96IZ0,Q96L34,No
P11309,P84077,No
Q9HC35,P26358,No
Q86XP3,P52757,No
O00151,Q9H1I8,No
Q9BYC9,P02794,No
P51693,P05026,No
O00541,Q14974,Yes
Q13332,Q92997,No
P43034,Q13409,Yes
Q8NEV4,P42568,No
P45984,P30084,Yes
P46379,Q03013,No
Q08945,Q9NX09,No
P16220,Q9UBQ0,No
Q9UQF2,P31943,No
P04632,P51513,No
P62979,Q9BYD6,Yes
Q96B86,Q9NTM9,No
P04179,P49771,Yes
P09326,P00918,No
P04637,Q12962,Yes
P30519,P01111,Yes
P61006,Q9GZQ8,Yes
P41250,Q9NPH0,No
P83916,Q9NRC8,Yes
O75351,Q96PU5,Yes
P12830,Q15262,Yes
P18206,Q9GZN7,No
O95166,Q13227,No
P23528,P18206,Yes
Q16621,P26885,No
Q9HD67,Q8N2Y8,No
Q9NUT2,Q9Y265,No
Q15047,P01909,No
Q07666,P50336,No
Q71DI3,Q9NPJ6,Yes
Q13885,P02792,No
P11597,Q9P2R6,No
P14618,P17540,No
Q8NE71,Q15011,No
P02771,Q9NQW7,No
O14744,O43765,No
O43924,Q9GZN7,No
Q06323,Q14318,No
P43235,P12429,No
P61006,P61224,Yes
P22736,Q9UII2,No
Q9BUL5,Q08495,No
P11142,Q99685,No
P22392,Q05193,No
P19419,P52756,No
O94762,O43765,No
P55769,Q6P2Q9,Yes
P48443,P02768,No
P09960,O75208,No
Q06323,Q14919,No
P63000,Q9UNI6,No
P07814,P23921,No
Q9Y6K8,P05231,No
Q8IX03,P53621,No
Q12824,Q9Y294,Yes
P13497,Q96Q04,No
Q99963,P11172,No
P05413,Q9BPU6,No
Q00613,Q9ULC4,No
O43583,Q00536,No
P29692,P23284,No
P62861,P11441,Yes
P02787,Q9NZL4,No
Q13547,Q9H1I8,No
Q9H1J1,P50616,No
Q9P289,Q9BPX5,No
Q9Y2S7,P04181,No
O43504,Q15434,No
Q13123,P06746,No
A4D1P6,P55209,No
O75828,O60260,No
Q9NZD4,Q9UNE7,No
Q96CT7,O15235,Yes
P04637,Q13330,Yes
Q12852,P50542,No
P04637,Q96KB5,Yes
Q13148,Q99700,Yes
Q9GZT6,Q8WUM4,No
P53350,P07237,No
O94762,P29074,No
Q9BZI7,P60903,No
P30086,Q92575,No
Q7Z3C6,P16220,No
Q9NVJ2,Q9NP72,No
P63165,O14737,No
Q13330,O00422,Yes
P41567,Q96HL8,No
P84090,Q8NCC3,No
P02775,Q13426,No
P24534,P37268,No
P08631,P49888,No
P05556,P00533,Yes
Q9Y6N7,O60701,No
P16403,Q53FA7,No
O43504,Q13636,No
P18669,Q9UH03,No
Q9Y6K8,Q12929,No
P49736,Q9UKV3,No
P27448,Q00013,No
P13747,O43252,No
P49321,Q9BSI4,No
Q9NW64,O60870,Yes
Q9UEU0,P33552,No
P42858,Q9H1J1,Yes
Q9Y3V2,P63279,Yes
P29074,P30533,No
O14744,P32004,No
O14907,P05305,No
Q8TEY7,O60333,No
Q13523,P07900,Yes
O95166,P35637,Yes
Q13501,P04792,No
P16403,P63104,Yes
P54578,P08670,Yes
P63279,P61769,Yes
P09936,Q14807,No
P61026,Q8NFZ0,No
P11142,O60828,Yes
P60174,O75381,No
Q13501,O00220,Yes
Q9UPY8,Q15005,No
O60260,P41250,Yes
O76003,Q9BX70,No
Q00613,O60333,No
Q9H063,Q05193,No
Q9NTK5,O60884,No
Q9HCK4,Q9BPU6,No
O60256,P09211,No
Q15434,P68402,No
O75674,O60701,No
Q8NFP7,Q92598,No
P56470,Q53FA7,No
Q86VK4,P62308,No
P05388,P58340,No
Q969X0,P35637,No
Q9BQ04,P25445,No
P52788,Q15011,No
P63165,Q15011,No
P12429,O43639,No
P51671,P41159,Yes
P30533,Q13541,Yes
P41567,Q06830,No
Q9BXR0,Q9Y6H5,No
Q8NFP9,P20827,No
Q9UNN5,P63208,Yes
P49736,Q08945,Yes
Q9Y294,Q9Y6Y0,No
P60033,P04899,Yes
P00533,Q16658,Yes
O15371,P21673,Yes
P54105,Q9NYQ6,No
Q13123,O00422,Yes
O00762,Q8N8Q3,No
Q96GM8,Q9H773,No
P63165,O43240,No
Q14155,O43809,No
P22090,O75818,Yes
Q8NE71,P01040,No
O75674,Q06609,No
Q9H840,P07858,No
Q15262,P35579,No
Q03013,P21127,No
P59665,P21127,No
Q12906,Q08945,Yes
P43250,O60502,No
P54105,P02774,No
Q9BZI7,O43809,No
P47756,P05388,Yes
P11142,O60884,Yes
Q8TBC3,P02792,No
Q96IZ0,O96013,No
P08670,Q15843,No
Q00613,Q92963,No
Q13526,P23246,No
P39687,Q9UBS3,No
O14732,Q8IWE5,No
Q14558,Q9GZU1,No
Q14203,Q9NYZ3,Yes
P16403,O95696,No
Q9UKV3,Q9H1D9,No
O75936,P42330,No
Q13885,Q8TBC3,No
P49736,P14174,Yes
P07602,P35269,No
P21246,P04156,No
O75400,P20042,No
P02768,Q99250,Yes
P68104,Q9UII2,No
P01111,P32249,No
P49903,O75874,No
O60234,P22736,No
Q93077,P53350,Yes
Q13885,P07437,Yes
Q13158,P17028,No
Q9Y265,P48643,Yes
P11172,Q9H4M7,Yes
P23284,Q9H3H3,No
P05388,P07437,Yes
P09960,P21549,No
P52565,P04792,Yes
Q12962,O95425,No
P19793,P21127,No
O14907,Q15388,No
P08887,Q99962,Yes
Q13813,Q15046,Yes
O14732,Q92963,No
P02794,P63279,No
Q9UM54,Q00610,Yes
Q7Z3C6,Q8TF65,No
Q96GD3,P04181,No
Q16643,P04899,No
O15169,Q9UNN8,No
P22234,Q12929,No
O75936,P51965,No
P19634,P13637,Yes
Q13636,Q9BV38,No
Q14692,Q14690,Yes
Q9H492,O95166,Yes
Q9H1J1,O95372,No
Q9UIF7,Q9ULU8,No
Q16539,P23921,No
P47897,Q12929,No
P84090,Q13200,No
P02774,P61769,Yes
Q15047,Q00536,No
O94953,Q8N2I9,No
Q16543,P68400,Yes
P23284,O75899,No
Q04446,Q96KB5,No
Q96RL1,O60701,No
O95568,P46100,No
P24534,O43240,No
P02794,P35219,No
O60671,Q7L2H7,No
P62937,Q8NCD3,No
Q9Y5U2,O60333,No
P02647,P47929,No
Q16827,Q15758,No
P09467,Q8TEY7,No
P06858,Q9NWZ3,No
P43307,Q14318,Yes
P35579,Q13813,Yes
Q9H0H5,Q9NYY3,No
P11309,Q12929,No
Q14524,P24593,No
Q15262,Q15560,No
Q13123,Q9UHF0,No
O75807,Q03164,Yes
P62995,Q9H4T2,No
P52788,Q9NY59,No
Q9H1J1,P07237,No
P68104,P14923,No
Q9P289,P35219,No
P07858,Q8WUM4,No
P27707,Q99567,No
P38936,P46100,No
O95163,Q9Y3A3,No
P22670,Q15645,No
P09104,Q9UPT6,No
P12004,P35244,Yes
P51114,Q14061,No
P61289,P62995,No
Q08345,Q8IWE5,No
Q92692,P15090,No
Q99873,O43240,No
Q15181,P30084,No
P08670,P06396,No
P04637,O95425,No
P06493,P39748,Yes
P49321,Q9NPH0,No
P29074,O43927,No
Q92993,Q15388,No
P08559,P08758,No
P32456,Q149N8,No
P19367,Q9HD67,No
Q9NPJ4,P19793,Yes
Q13148,P83916,No
P53602,Q96AE4,No
Q96GD3,Q06830,No
P19419,Q14203,No
Q9UHX1,Q9H5I1,No
P53621,P02792,No
P17858,Q71U36,Yes
P19838,Q00403,Yes
Q13332,Q14061,No
O95273,Q14203,No
P00390,O95831,Yes
O75828,P84090,No
Q08945,P41220,No
Q13123,P46531,No
Q99873,Q9NWS0,Yes
Q8NG27,P68032,No
Q15262,P12830,Yes
Q92481,P11142,No
Q8NEV4,P56945,No
Q96GM8,Q9H832,No
Q9Y4A5,P63208,Yes
Q9UHX1,Q9UK32,No
O75400,Q15843,No
P07602,Q09013,No
Q14181,P05413,No
Q9Y2S7,Q13113,No
P63208,Q6P2Q9,Yes
P22314,Q9Y4P8,Yes
P35998,Q9H4M7,Yes
P39687,Q13148,No
P38936,Q13526,Yes
P30281,O14531,No
P61289,Q7LDG7,No
P02647,P06746,No
Q9UPT6,P16220,No
P36957,P0DP23,Yes
P06865,Q13469,No
O43504,O75348,Yes
Q08945,P46531,No
P62861,P12830,Yes
Q8TEY7,Q92997,No
P08670,P21549,No
P36957,O14640,No
P21741,P05154,No
P04632,P51159,No
Q13107,P47929,Yes
Q04446,P50570,Yes
P26641,Q13325,No
P04792,Q96GD4,Yes
P53621,P02794,No
O60333,Q13895,Yes
P49321,P19419,No
Q12852,Q15011,No
P04179,P14618,Yes
P60033,Q9NTG7,No
P11021,Q16543,Yes
Q92674,Q9Y265,Yes
Q03393,O00560,Yes
Q9NTK5,P24666,No
Q99616,P84077,No
P19256,O14976,No
P10809,Q9NUB1,Yes
Q9H063,P31943,No
Q86U86,P46100,Yes
P62937,Q13951,Yes
Q13011,Q15388,Yes
P35475,O95361,No
O14775,Q05193,No
O60671,O75525,No
P08243,Q9UII2,No
Q9H3S7,P18206,Yes
P23246,Q96HS1,No
P98175,Q13332,No
P00533,P07237,Yes
A4D1P6,Q13085,No
Q12772,Q9NUT2,No
Q8N8Q3,Q9UKK9,No
P56470,Q9UBQ0,No
O15530,Q9UHY7,No
P21246,P55854,No
Q08495,Q9UNZ2,No
Q14692,O75569,Yes
P78364,P17540,No
P43034,Q12809,No
O95166,O60256,No
Q9GZQ8,O60333,No
Q9H1J1,O15235,No
Q9NTK5,Q14155,No
P29692,Q9NUT2,No
O14976,P78314,No
Q08345,P52209,No
P60880,P55774,No
P42773,P63165,No
Q9C026,P50402,No
P07737,Q93015,Yes
Q9H0H5,Q9UKM9,No
P51114,Q9Y294,No
Q04724,P17936,No
Q9Y296,Q9H0E2,No
Q92481,P08133,No
Q96EP1,Q99685,No
P41250,O15496,No
P55081,Q9BXP5,Yes
P32456,Q9BY11,No
Q9P298,Q9Y483,No
Q9UNN5,Q92963,No
Q96CD2,P45984,No
Q96PU5,Q15910,No
Q8WY91,P11142,Yes
Q9BYC9,P49736,No
P14902,O43927,Yes
P08559,Q96EA4,No
Q16643,P24593,No
Q8NI35,P22061,No
Q14790,Q9BXP5,No
Q92481,Q9BXP5,No
P55209,O60333,No
P61006,P47929,No
Q9Y237,Q9H0H5,Yes
O14732,P11166,No
P16220,P55316,No
P27694,P16435,No
Q9UM54,Q15758,No
P19793,O60885,Yes
P62136,P05198,Yes
O76071,Q9NPH0,No
P14091,P62070,No
P14618,Q86YV5,No
P62995,O95425,No
Q96GM8,P30281,No
P06493,Q92674,Yes
P41250,Q9NPA8,No
P07437,P62136,Yes
Q13526,O95571,No
P07900,O00220,Yes
P83916,P12956,Yes
Q99616,O95425,No
O43504,P62995,No
Q06323,P80098,No
O75936,Q8WWI1,No
Q12772,Q96HS1,No
Q9UKM9,Q8N8Q3,No
P32456,O14526,No
Q12809,Q9GZQ8,Yes
P49458,Q99700,Yes
P18669,Q99685,No
Q16643,P06396,Yes
O43924,Q13625,No
Q00610,P47897,Yes
P13747,Q9Y343,No
P55209,P52756,No
Q9BX70,P24941,Yes
Q16881,Q13951,No
P10451,P01270,Yes
Q9H0H5,Q13123,No
Q7L5D6,P60174,No
Q6P2Q9,Q13838,Yes
Q9Y343,Q9Y3A3,Yes
O75674,Q6PD74,No
Q92993,O14737,Yes
P17174,P55769,No
Q9BQ04,P63279,No
P27694,P49736,Yes
P29692,Q9BVJ7,No
P11166,Q08495,Yes
Q8IX03,Q92963,No
Q14790,Q15811,No
P59998,P63165,Yes
P17174,P00533,Yes
O95372,Q13263,Yes
P01040,P21246,Yes
O95166,P40926,Yes
O75689,Q16760,No
O60884,P47756,No
P35475,Q8WWI1,No
O95166,P47224,No
P41567,O60315,No
P60033,P09429,No
Q9Y265,P40227,Yes
O00422,P04181,No
Q12852,P55789,No
P06576,P30519,Yes
P09466,Q13951,No
P16403,P33552,No
Q9BXR0,O60315,No
Q6P1J9,P47756,No
P60174,Q15560,No
Q9NQW7,Q13200,No
P00966,Q92598,Yes
P14174,P31994,No
P51693,P25445,No
P02775,P07858,No
Q08945,P62995,Yes
Q16621,P04156,No
Q9GZT6,Q9BY11,No
P17936,P19838,Yes
O94761,Q96HS1,Yes
Q9HC35,Q9UM73,Yes
O60701,O76071,Yes
P08133,P14866,Yes
P98175,P63104,No
Q93091,Q9UBS3,No
Q14790,Q13232,No
O43583,P20042,Yes
O75807,O60543,No
Q9BQ04,Q15843,No
Q9UBT2,Q6IAA8,No
P61289,Q14558,No
Q14974,Q9Y265,Yes
P14866,Q93077,No
Q9NX46,P05154,No
P35579,O95425,Yes
O75569,O95831,No
Q9UKV3,Q14240,No
P09651,P17480,No
Q99873,Q86XP3,No
Q969X0,P52565,No
Q9UPT6,Q16658,No
O00273,O43639,No
Q99873,P39748,No
Q13263,Q13085,Yes
P47224,P07108,No
P05413,P32942,No
Q9UIF7,P51114,No
P42356,P30086,No
P09104,P00505,No
P68036,O60543,No
P12429,Q8N6T7,No
Q92692,O95989,No
Q15645,Q9Y2M5,No
O95372,P78417,Yes
P09960,Q96B02,No
P08243,P12931,No
P12956,Q8NBJ7,No
P09104,Q9BY11,No
P42356,P11142,Yes
Q13459,Q96HL8,No
P09466,P10451,Yes
P62937,P23246,Yes
P07305,P24941,Yes
P49903,Q9BQ04,No
Q10570,Q9HC35,Yes
P21579,O14737,No
P07602,P09466,No
P11169,P21673,No
Q08345,P60484,No
Q8WV44,P55316,No
Q9BYC9,P05154,No
P14618,P11166,No
P53621,P08758,No
P61026,P49771,No
P41567,P43307,No
P50914,P04637,Yes
Q9Y2W2,P26358,No
P60709,P63000,Yes
Q92879,Q8WWI1,No
P24534,O60885,No
P55209,Q9NX09,No
Q8N6T3,O43252,No
P60033,P50336,No
P49903,P05231,No
P08670,P22392,Yes
P43250,O14526,No
P00797,Q92995,No
P62820,P60709,Yes
Q9NYY3,P06576,No
P53602,P52757,No
Q14683,Q9Y6Y0,Yes
P04179,P56192,No
P47224,P51965,No
P27448,P52757,No
Q16621,Q6PD74,No
P22736,Q8N6T7,No
P08631,Q96EA4,No
P80098,Q92575,No
Q969W0,P55209,No
P07814,P50336,No
P41567,Q9UQL6,No
O75674,Q9UMR2,No
P35998,P35269,Yes
P47224,Q8WXF1,No
Q9P1W9,Q9H3H3,No
P06576,Q9UK32,No
O94762,P48643,No
P06865,P25445,No
Q9ULU8,P30084,No
O76003,Q9NPH0,No
Q8NEV4,Q9BVJ7,No
P24941,Q13309,Yes
Q8TDM6,P68400,No
Q12809,Q9BY11,No
P11309,Q8IWE5,No
Q14790,O75381,No
P16220,O95376,No
P50914,P11441,Yes
Q96B36,P07108,No
P42773,P47929,No
O43765,P23284,Yes
P42858,P23921,No
Q96B86,P20338,No
P14902,Q9NP72,No
Q92990,Q6IBS0,No
P42356,Q99719,No
Q9HCU9,Q9UQL6,Yes
Q9GZQ8,O14832,No
Q96RR1,Q14807,No
Q9NRC8,O95760,No
P09936,Q8WUM4,No
Q01101,P04899,No
Q12840,Q14807,No
Q13227,O43252,No
P07858,P12931,No
P23246,Q96IZ0,Yes
Q96PU5,Q9NTM9,No
P06858,P30281,No
P11021,P15090,No
Q9H0H5,O43927,No
P16403,Q8NCC3,No
P61956,P17174,No
P98175,P55854,No
Q9BQ04,P51513,No
Q9UHX1,Q9BV38,No
Q08345,P11021,No
P10809,P13747,Yes
Q96B02,Q15119,No
O95425,P60709,Yes
Q96BY9,P52209,No
P0DP23,P25445,Yes
O60260,P14618,Yes
P12956,P11274,No
Q08495,O60234,No
Q15047,Q8N2I9,No
Q9NP59,Q9Y6I3,No
P27707,P16152,No
P11441,P37268,Yes
O75936,P80098,No
Q9Y296,O14678,No
P14866,Q07869,Yes
Q8WV44,O00560,No
P07305,Q15022,Yes
O43924,Q9UMS0,No
P06396,P12931,Yes
Q71DI3,Q7KZ85,Yes
Q99616,P35609,No
P06746,Q09472,Yes
P15822,Q06609,No
P05388,O75381,No
Q01082,Q9UMS0,No
Q14692,P62308,Yes
Q16539,Q96BY9,No
P63000,P11274,Yes
P42356,P42568,No
Q12824,P50570,No
P35579,Q13510,No
Q969W0,O60333,No
Q96GD4,Q06609,No
P08631,P20827,No
Q08345,P05154,No
Q92540,Q92956,No
P68032,P60520,No
Q13459,P05231,No
P02794,Q9P289,No
P11142,Q9UQ80,Yes
P60709,P08559,Yes
Q9H840,P00797,No
P39748,O60701,No
Q9H4M7,P06493,Yes
P27694,P47756,Yes
P62873,Q8NI35,Yes
Q9UKY1,Q8IVM0,No
P07237,P20849,Yes
Q86XP3,Q9Y265,Yes
Q9HD67,P48643,No
Q13501,Q13158,Yes
Q9Y4P8,P30086,No
Q16827,P11274,No
P11142,P53350,Yes
P07858,P78560,No
P54105,Q96RR1,No
Q9NVX7,P62070,No
P14618,O60701,No
Q08379,O15235,No
P11142,Q92598,No
Q92993,O94762,No
O43924,Q9NX58,No
P19419,P32004,No
P18858,P32249,No
Q12824,Q86U86,Yes
Q04446,O14737,No
O76071,Q8N159,No
P29762,Q9GZU1,No
P21246,Q06609,No
P48443,P23284,No
P04406,Q99873,No
Q9H840,Q16658,No
Q14194,P18669,No
O95568,Q8TF65,No
P60174,Q8IYB7,No
Q04446,P34896,No
P02775,P21673,No
P07900,Q9UM73,Yes
P09467,Q9UMR2,No
Q16658,P50570,Yes
Q8WV44,Q15560,No
Q8NE71,P17028,No
P68871,Q8WWQ0,No
Q7L5N1,P05231,No
Q9H4M7,P16152,Yes
P27694,Q15397,No
Q08379,Q13332,No
P06576,P51784,Yes
P17480,Q03188,Yes
P07858,P24666,No
Q08345,Q99496,No
Q8NFP7,Q06830,No
P21246,Q01082,No
P63165,Q9UHF0,No
Q96CD2,Q9H1I8,No
Q99567,O95166,Yes
P22234,P07737,No
Q7Z3C6,O43240,No
O00762,P22736,No
P05787,P43307,No
Q9UKL0,Q9H1I8,Yes
P49759,O14531,No
P22234,Q14524,No
P00918,Q14524,No
P57060,Q9UK61,No
P18669,O60543,No
O94761,O43292,No
Q9NPJ6,Q15544,Yes
P10809,P07900,Yes
Q99081,P06746,No
O43583,P11441,Yes
O14640,Q13085,No
P19367,Q96CD2,No
P35579,Q9H4M7,Yes
O75936,Q8N5F7,No
P53350,P22736,No
Q8WYH8,P47756,No
P55789,P23246,No
Q9H492,Q9Y3A3,No
P27707,P61006,No
P12429,Q08116,No
P51114,P51513,No
O95568,Q08945,No
P48443,P47929,No
P19256,O94762,No
Q99584,P63279,No
Q9UQ90,Q9GZN7,No
P40227,P30153,Yes
P02787,P35609,No
P59998,Q8NCD3,No
Q9P298,Q02363,No
Q9Y265,P52298,Yes
P11274,Q08345,Yes
Q12840,O95696,No
Q86VK4,Q9UBS3,No
Q8WV44,P55769,No
Q9UKM9,Q92963,No
P35914,O95372,No
P10809,P30153,Yes
P25103,P62873,Yes
P04406,P11166,No
Q9NUT2,Q13510,No
Q99616,P61970,No
P60033,O60333,No
P17174,P11142,No
Q9UHX1,O60256,No
O15530,P50402,No
Q99417,Q9UQ80,Yes
Q9BZI7,O75874,No
P04637,P09936,Yes
O94761,Q06609,Yes
P29762,Q6PD74,No
Q13432,P09960,No
O14744,P07900,Yes
Q15022,Q86YP4,Yes
P49419,P08559,Yes
Q08379,P04792,No
P49458,Q86XP3,Yes
Q86XP3,P20827,No
Q13158,P11274,No
P21741,Q8WUM4,No
P12931,Q8NFZ0,Yes
Q9H840,P41220,No
Q96E40,Q9NX58,No
P18206,Q15583,No
P38936,P22234,No
P48443,P52757,No
P14923,P78417,No
O14717,P59998,No
Q9H1J1,O95696,No
Q13547,P20338,No
P60763,P61224,Yes
Q14919,P53602,No
O00422,Q9HCU9,Yes
Q13885,P33552,No
P24522,P00505,No
Q7L5D6,Q09472,No
O75689,Q99567,No
Q12962,P40306,No
Q09472,Q08945,Yes
Q9UBT2,P52757,No
O94953,P11274,No
P35998,Q14807,No
O14678,Q15811,No
P14174,O60885,No
Q86YP4,P09211,No
P19793,P62826,No
Q6P2Q9,Q9NPI1,Yes
O96007,P07108,No
Q92481,P11274,No
P0CG48,O00762,Yes
P53621,P84077,Yes
Q12772,Q6PD74,No
Q9Y294,O14777,No
O43570,Q8N6T7,No
P08670,Q12962,No
O76003,O60701,No
Q9NWY4,P01909,No
P04179,P30084,Yes
Q13107,P42568,No
O14733,Q92963,No
Q9NWY4,Q9Y4P8,No
P63167,Q9NS87,No
O60885,P26358,Yes
P11021,O94761,Yes
P08559,Q8NFZ0,No
Q13426,Q12906,No
Q9H3S7,Q9Y483,No
Q07666,P37198,No
Q9UKY1,Q96EA4,No
Q9Y2S7,Q02363,No
P27448,P47897,No
P08559,O15381,No
P30281,O75534,No
Q96B67,Q8WUM4,Yes
P18858,P80098,No
Q09472,P42858,Yes
Q15059,P83916,Yes
Q13332,O75689,No
Q99962,Q13541,No
P38936,P63104,Yes
P04844,Q9BY11,No
Q7L2H7,Q92997,No
P31689,O60260,Yes
P30086,P07305,No
Q03013,Q9UQL6,No
P04156,Q06830,Yes
Q00597,Q13813,Yes
P49759,Q15583,No
Q13951,Q99081,Yes
O60493,Q86YV5,No
P60174,O14531,No
Q14692,P16403,Yes
Q16881,O43809,No
P01023,P25445,No
Q6IAA8,Q9H832,No
Q9BXR0,P02771,No
Q8N6T3,P51159,No
Q9UNE7,Q15910,Yes
Q9NQW7,P16435,No
Q16539,Q99759,No
P27707,P07737,No
O95704,P54274,No
P61956,Q8WWI1,Yes
P61956,P46531,No
Q13501,P16220,No
P47897,Q9Y295,Yes
O43252,Q9Y6H5,No
Q9NXU5,O76071,No
Q96CT7,O60885,Yes
Q14524,P30533,No
Q92879,Q99653,No
Q8TDM6,O95361,No
P42858,A4D1P6,Yes
P30086,Q9NZD4,No
Q08345,Q07869,No
Q9H1J1,Q9GZU1,No
Q13547,O00422,Yes
Q9NPI1,Q9NX18,No
P11021,Q12988,Yes
Q9H773,O43927,No
Q9NPI1,P68032,Yes
Q16881,P40926,No
Q96B36,P11274,No
Q9UM73,P07900,Yes
O76071,Q9BX70,No
Q8WY91,Q96EA4,No
Q13636,P60484,No
O75689,Q13469,No
O00291,P22736,No
P02768,Q6P1J9,Yes
P35998,P31689,Yes
O14640,P55774,No
Q9BQ04,Q9UK32,No
O00291,P14091,No
Q13263,O15371,Yes
Q96B02,P16435,No
Q13432,P68400,No
Q01101,P21127,No
P23246,P60709,Yes
P02647,Q149N8,No
P35914,P58340,No
Q9Y265,Q6ZRS2,Yes
Q7L2H7,P51159,No
P06865,O15381,No
Q14155,Q9UMR2,No
P60174,P24522,No
O00273,P47756,No
Q13885,Q8TF65,No
P61956,P46100,Yes
Q9Y2U9,Q9NS87,No
Q96G74,P68400,No
Q15121,P17028,No
Q9NPA8,Q15843,Yes
P00966,Q8N159,No
P29692,O96013,No
P02766,O43312,No
P21246,Q8TF65,Yes
P49321,Q8NBJ7,No
Q7Z3C6,Q15046,No
O76061,Q9HD15,No
P51965,P62979,Yes
P19367,P20827,No
Q9UPY8,Q99417,No
P23246,Q99567,No
P43034,Q8N2I9,No
Q6P2Q9,P54578,Yes
Q9Y6K8,P55769,No
O95251,P49736,Yes
P55769,P61221,Yes
P07602,P07858,No
P19838,Q15758,Yes
P42356,P01040,No
P22234,Q9NQC3,No
P22736,Q06609,No
Q99963,Q15005,No
P12429,O43390,No
Q15583,P31943,Yes
P12956,Q09472,Yes
Q16539,O95831,No
P02766,Q9P287,No
Q9UQF2,Q00536,No
Q6P1J9,Q7KZ85,Yes
O95696,Q14318,Yes
Q9H4M7,Q6P2Q9,Yes
Q08945,Q86U86,Yes
Q9UNN5,Q9BV38,No
P63167,P13747,No
P13686,O75962,No
Q15434,P26885,No
O76071,Q9BZI7,Yes
Q9GZQ8,Q15560,No
P06858,Q9NQW7,No
P45984,Q16236,Yes
Q9H773,Q01082,No
O14907,O60885,No
P55209,Q8TF65,No
P07900,O00151,No
P61769,P46531,Yes
P09326,Q8NFZ0,No
Q8NE71,Q4VC44,No
P26373,Q9BVK8,Yes
Q03393,O43809,No
Q969G6,O15211,No
P09467,Q99250,No
P05556,Q9HAU5,Yes
Q15262,P16152,No
P35080,Q9NTM9,No
P60880,P54274,No
P53350,P52565,No
Q9Y2U9,Q9BV38,No
P14923,Q08379,Yes
P11142,P30519,No
P30086,Q96AE4,No
P06858,Q96KB5,No
P49903,Q9Y5U2,No
P07237,P52209,Yes
Q93015,Q9NPJ4,No
P35579,P50542,Yes
Q96B02,Q8IYT8,No
Q13011,Q9H1I8,No
Q9NRC8,O14744,Yes
Q13332,Q9GZN7,No
P48443,P23528,No
Q13011,P35219,No
P18669,O60260,Yes
Q96GM8,P47897,No
Q8TBC3,Q86YV5,No
Q13574,Q96RR1,No
P11021,P60484,No
P05387,P47897,Yes
P0DP23,Q99759,Yes
O75807,Q12906,No
Q9UQF2,P21673,No
P61006,Q9Y483,No
Q13011,P00918,No
P68871,Q12962,No
O00257,Q06830,No
P48443,O14678,No
P60520,Q9Y2M5,No
P30044,P14618,Yes
P05413,Q9NY59,No
Q8WV44,P50336,No
P27694,P49448,No
Q00597,Q06609,Yes
O75208,P07602,Yes
O75400,Q9BYD6,Yes
P04792,Q6P2Q9,Yes
Q9UPY8,O14775,No
Q92597,Q12988,No
O95568,P07305,No
Q96GD3,Q9P1W9,No
O95994,P11142,Yes
Q00613,O43504,No
Q9NTX7,P62979,Yes
Q04724,Q9BVJ7,No
P09651,Q9NTM9,No
Q96CD2,Q9H095,No
P08631,O15169,No
P22670,O75899,No
P60880,O75569,No
Q93091,Q9HD15,No
P19367,Q15434,No
Q08345,P60520,No
O76003,Q12929,No
Q8IX03,O75381,No
P06858,Q9NRC8,No
P11142,Q13309,Yes
Q9NP59,O60828,No
P12429,Q9UNI6,No
P43034,Q15397,No
Q03405,P07942,Yes
O60671,P00491,No
P62873,P01270,Yes
Q06323,Q99250,No
P12931,P09651,Yes
Q14690,P49771,No
P14091,Q99719,No
Q86VP1,P17936,No
Q9C026,P84090,No
Q15388,Q96C03,Yes
